distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,gas_consumed,amount
28.0,5.0,26,21.5,12,E10,0,0,0,1.4,2.01
12.0,4.2,30,21.5,13,E10,0,0,0,0.504,0.73
11.2,5.5,38,21.5,15,E10,0,0,0,0.616,0.89
12.9,3.9,36,21.5,14,E10,0,0,0,0.5031,0.72
18.5,4.5,46,21.5,15,E10,0,0,0,0.8325,1.2
8.3,6.4,50,21.5,10,E10,0,0,0,0.5312,0.76
7.8,4.4,43,21.5,11,E10,0,0,0,0.3432,0.49
12.3,5.0,40,21.5,6,E10,0,0,0,0.615,0.88
4.9,6.4,26,21.5,4,E10,0,0,0,0.31360000000000005,0.45
11.9,5.3,30,21.5,9,E10,0,0,0,0.6307,0.91
12.4,5.6,42,21.5,4,E10,0,0,0,0.6944,1.0
11.8,4.6,38,21.5,0,E10,0,0,0,0.5428000000000001,0.78
12.3,5.9,59,21.5,10,E10,0,0,0,0.7257000000000001,1.04
24.7,5.1,58,21.5,12,E10,0,0,0,1.2596999999999998,1.81
12.4,4.7,46,21.5,11,E10,0,0,0,0.5828,0.84
17.3,5.1,24,21.5,5,E10,0,0,0,0.8823000000000001,1.27
33.4,5.6,36,21.5,3,E10,0,0,0,1.8703999999999998,2.69
11.8,5.1,32,21.5,3,E10,0,0,0,0.6018,0.87
25.9,4.9,39,21.5,8,E10,0,0,0,1.2691,1.83
11.8,4.7,40,21.5,4,E10,0,0,0,0.5546000000000001,0.8
25.3,5.5,32,21.5,3,E10,0,0,0,1.3915,2.0
14.2,5.9,38,21.5,1,E10,0,0,0,0.8378,1.21
17.9,5.7,37,21.5,1,E10,0,0,0,1.0203,1.47
11.8,4.7,36,21.5,1,E10,0,0,0,0.5546000000000001,0.8
12.3,5.9,62,21.5,6,E10,0,0,0,0.7257000000000001,1.04
12.4,4.1,57,21.5,9,E10,0,0,0,0.5084,0.73
18.4,5.7,21,22.5,2,E10,0,0,0,1.0488,1.51
18.4,5.8,28,21.5,3,E10,0,0,0,1.0672,1.54
18.3,5.5,29,21.5,1,E10,0,0,0,1.0065,1.45
18.4,5.7,35,21.5,4,E10,0,0,0,1.0488,1.51
12.3,5.3,51,21.5,11,E10,0,0,0,0.6518999999999999,0.94
11.8,5.0,29,21.5,10,E10,0,0,0,0.59,0.85
12.3,5.6,58,21.5,8,E10,0,0,0,0.6888,0.99
32.6,4.8,40,21.5,7,E10,0,0,0,1.5648,2.25
19.0,4.3,36,21.5,7,E10,0,0,0,0.8170000000000001,1.18
12.1,5.7,36,21.5,8,E10,0,0,0,0.6897,0.99
20.0,5.2,37,21.5,4,E10,0,0,0,1.04,1.5
4.9,7.4,26,21.5,6,E10,0,0,0,0.36260000000000003,0.52
11.8,4.8,23,21.5,9,E10,0,0,0,0.5664,0.82
12.3,6.5,58,21.5,7,E10,0,0,0,0.7995,1.15
12.4,4.0,55,21.5,7,E10,1,1,0,0.496,0.71
4.5,5.0,29,21.5,7,E10,1,0,0,0.225,0.32
11.7,4.6,37,21.5,6,E10,0,0,0,0.5381999999999999,0.77
10.2,4.3,44,21.5,7,E10,0,0,0,0.43859999999999993,0.63
5.4,3.3,32,21.5,7,SP98,0,0,0,0.1782,0.31
2.0,9.9,21,21.5,4,SP98,0,0,0,0.198,0.35
14.2,5.1,32,21.5,7,SP98,0,0,0,0.7241999999999998,1.27
16.0,4.9,25,21.5,8,SP98,0,0,0,0.784,1.38
11.8,4.9,25,21.5,11,SP98,0,0,0,0.5782,1.02
27.3,4.7,36,21.5,10,SP98,0,0,0,1.2831000000000001,2.26
11.8,5.1,29,21.5,5,SP98,0,1,0,0.6018,1.06
10.6,4.9,63,21.5,6,SP98,0,0,0,0.5194000000000001,0.91
11.6,4.2,61,21.5,7,SP98,0,0,0,0.48719999999999997,0.86
13.1,6.1,46,21.5,6,SP98,0,1,0,0.7990999999999999,1.41
6.1,6.4,28,21.5,8,SP98,0,0,0,0.39039999999999997,0.69
153.5,4.9,82,21.5,3,SP98,0,1,0,7.5215000000000005,13.23
11.8,4.9,24,21.5,7,SP98,0,0,0,0.5782,1.02
12.3,6.2,61,21.5,8,SP98,0,0,0,0.7626000000000001,1.34
12.4,4.2,57,21.5,8,SP98,0,0,0,0.5208,0.92
12.3,5.7,52,21.5,8,SP98,0,1,0,0.7011,1.23
2.9,7.9,18,21.5,9,SP98,1,1,0,0.2291,0.4
2.1,12.2,23,21.5,9,SP98,1,1,0,0.2562,0.45
9.8,5.8,24,21.5,6,SP98,0,0,0,0.5684,1.0
6.8,5.3,26,21.5,6,SP98,0,0,0,0.3604,0.63
12.4,5.4,24,21.5,7,SP98,0,0,0,0.6696000000000001,1.18
12.4,4.7,57,21.5,8,SP98,0,0,0,0.5828,1.03
11.8,4.6,41,21.5,6,SP98,0,0,0,0.5428000000000001,0.95
12.3,5.4,55,21.5,8,SP98,0,0,0,0.6642,1.17
14.0,4.3,40,21.5,8,SP98,0,0,0,0.602,1.06
11.8,4.5,37,21.5,4,SP98,1,0,0,0.531,0.93
12.3,5.2,55,21.5,12,SP98,0,0,0,0.6396000000000001,1.13
2.0,6.2,20,21.5,10,SP98,0,0,0,0.124,0.22
13.9,5.1,29,21.5,6,SP98,0,0,0,0.7089,1.25
9.7,3.9,42,21.5,8,SP98,0,0,0,0.37829999999999997,0.67
11.6,5.0,25,21.5,6,SP98,0,0,0,0.58,1.02
14.2,5.4,38,21.5,7,SP98,0,0,0,0.7668,1.35
11.8,4.5,39,21.5,6,SP98,0,0,0,0.531,0.93
24.8,5.1,50,21.5,9,SP98,0,0,0,1.2648,2.22
12.4,4.7,56,21.5,7,SP98,0,0,0,0.5828,1.03
34.8,4.0,28,20.0,4,SP98,0,0,0,1.392,2.45
14.2,5.4,36,20.0,6,SP98,0,0,0,0.7668,1.35
5.2,4.5,39,20.0,10,SP98,0,0,0,0.234,0.41
10.5,3.6,42,20.0,10,SP98,0,0,0,0.37800000000000006,0.66
12.3,5.2,57,20.0,10,SP98,0,0,0,0.6396000000000001,1.13
11.8,4.9,25,20.0,11,SP98,0,0,0,0.5782,1.02
12.3,6.2,58,20.0,11,SP98,0,1,0,0.7626000000000001,1.34
13.2,4.3,51,20.0,11,SP98,0,1,0,0.5676,1.0
13.0,5.0,45,20.0,11,SP98,0,1,0,0.65,1.14
12.9,5.1,32,20.0,11,SP98,0,0,0,0.6578999999999999,1.16
13.9,5.6,22,20.0,8,SP98,0,0,0,0.7784,1.37
11.8,4.3,37,20.0,6,SP98,0,0,0,0.5074000000000001,0.89
12.2,5.8,60,20.0,11,SP98,0,0,0,0.7075999999999999,1.24
12.5,4.0,51,20.0,13,SP98,0,0,0,0.5,0.88
12.4,4.7,43,21.5,10,SP98,0,0,0,0.5828,1.03
11.8,5.9,21,20.0,9,SP98,1,1,0,0.6962,1.22
11.8,5.3,52,21.5,11,SP98,0,0,0,0.6254,1.1
12.5,4.2,57,20.0,11,SP98,0,0,0,0.525,0.92
15.7,5.3,33,21.5,9,SP98,0,0,0,0.8321,1.46
12.9,5.7,35,21.5,9,SP98,0,0,0,0.7353000000000001,1.29
6.4,4.4,37,21.5,10,SP98,0,0,0,0.2816,0.5
5.3,4.1,34,21.5,9,SP98,0,0,0,0.21729999999999997,0.38
26.2,5.8,71,21.0,8,SP98,1,1,0,1.5195999999999998,2.67
18.8,5.0,62,21.5,9,SP98,0,1,0,0.94,1.65
4.9,6.9,25,21.0,12,SP98,0,1,0,0.3381,0.59
12.4,5.4,18,21.0,11,SP98,1,1,0,0.6696000000000001,1.18
22.9,5.3,45,20.5,7,SP98,0,0,0,1.2137,2.13
162.7,5.5,75,23.0,1,SP98,0,0,0,8.9485,15.74
4.9,6.5,26,21.0,1,SP98,0,0,0,0.3185,0.56
11.8,4.7,36,21.0,4,SP98,0,0,0,0.5546000000000001,0.98
16.6,5.1,56,21.0,7,SP98,0,0,0,0.8466,1.49
12.4,5.7,37,21.0,7,SP98,0,0,0,0.7068000000000001,1.24
15.9,5.4,25,21.0,7,SP98,0,0,0,0.8586000000000001,1.51
5.1,8.7,21,23.5,5,SP98,0,0,0,0.44369999999999993,0.78
22.4,4.9,66,20.5,7,SP98,0,0,0,1.0976000000000001,1.93
31.1,4.7,42,20.5,7,SP98,0,0,0,1.4617000000000002,2.57
4.9,6.3,27,20.5,3,SP98,0,0,0,0.30870000000000003,0.54
11.8,5.1,26,23.0,4,SP98,0,1,0,0.6018,1.06
22.9,6.0,42,23.0,4,SP98,0,1,0,1.3739999999999997,2.42
12.4,4.6,38,23.0,1,SP98,0,1,0,0.5704,1.0
12.9,5.8,40,23.0,4,SP98,0,0,0,0.7482,1.32
11.8,5.1,43,23.0,0,SP98,0,0,0,0.6018,1.06
12.2,5.8,58,23.0,2,SP98,0,0,0,0.7075999999999999,1.24
24.8,4.6,55,23.0,3,SP98,0,0,0,1.1408,2.01
14.2,5.6,24,23.0,8,SP98,0,0,0,0.7951999999999999,1.4
11.8,4.6,38,23.0,0,SP98,0,1,0,0.5428000000000001,0.95
12.2,6.3,57,23.0,0,SP98,0,1,0,0.7686,1.35
24.7,5.5,56,25.0,1,SP98,0,0,0,1.3585,2.39
6.8,4.3,46,24.0,2,SP98,0,0,0,0.2924,0.51
17.3,5.6,37,21.5,1,SP98,0,0,0,0.9688,1.7
11.8,4.3,44,21.5,-3,SP98,0,0,0,0.5074000000000001,0.89
15.9,5.7,46,21.5,5,SP98,0,0,0,0.9063000000000001,1.59
5.1,6.4,39,21.5,4,SP98,0,0,0,0.3264,0.57
16.1,4.5,33,21.5,6,SP98,0,0,0,0.7245,1.27
11.8,4.5,43,21.5,3,SP98,0,0,0,0.531,0.93
4.2,6.0,26,21.5,5,SP98,0,0,0,0.252,0.44
17.4,5.1,30,21.5,5,SP98,0,0,0,0.8873999999999999,1.56
23.5,6.0,25,21.5,5,SP98,0,1,0,1.41,2.48
11.8,4.5,38,21.5,5,SP98,0,1,0,0.531,0.93
12.3,6.1,61,21.5,10,SP98,0,1,0,0.7503,1.32
16.1,5.4,24,21.5,7,E10,0,1,0,0.8694000000000002,1.25
11.8,4.3,40,21.5,10,E10,0,1,0,0.5074000000000001,0.73
12.3,5.4,58,21.5,13,E10,0,0,0,0.6642,0.96
12.4,4.3,49,21.5,17,E10,0,0,0,0.5332,0.77
7.0,5.2,25,21.5,17,E10,0,0,0,0.364,0.52
11.8,4.1,37,21.5,10,E10,0,0,0,0.48379999999999995,0.7
20.1,4.4,41,21.5,18,E10,0,0,0,0.8844000000000001,1.27
20.8,4.5,45,21.5,10,E10,0,0,0,0.936,1.35
1.7,10.8,14,21.5,10,E10,0,1,0,0.18359999999999999,0.26
35.9,4.7,45,21.5,12,E10,0,0,0,1.6872999999999998,2.43
36.9,4.8,52,21.5,5,E10,0,0,0,1.7711999999999997,2.55
16.8,4.0,46,21.5,8,E10,0,0,0,0.672,0.97
9.9,5.0,28,21.5,9,E10,0,0,0,0.495,0.71
22.9,4.6,61,21.5,7,E10,0,1,0,1.0534,1.52
17.3,5.0,61,21.5,6,E10,1,1,0,0.865,1.24
11.8,4.3,37,21.5,7,E10,0,0,0,0.5074000000000001,0.73
36.6,5.2,80,21.5,7,E10,0,1,0,1.9032000000000002,2.74
44.9,4.7,62,21.5,8,E10,0,0,0,2.1103,3.04
11.8,4.2,34,21.5,9,E10,0,1,0,0.49560000000000004,0.71
21.6,5.3,44,21.5,9,E10,0,1,0,1.1448,1.65
39.4,5.3,60,21.5,9,E10,0,1,0,2.0882,3.0
5.1,8.1,39,21.5,4,E10,0,0,0,0.41309999999999997,0.59
26.6,4.8,38,21.5,7,E10,0,0,0,1.2768000000000002,1.84
53.2,5.1,71,21.5,2,E10,0,0,0,2.7132,3.9
18.9,4.4,53,21.5,2,E10,0,0,0,0.8316,1.2
43.5,5.0,80,21.5,3,E10,0,0,0,2.175,3.13
6.1,6.3,26,21.5,5,E10,0,0,0,0.3843,0.55
16.4,4.8,49,21.5,5,E10,0,0,0,0.7871999999999999,1.13
12.3,6.1,40,21.5,6,E10,0,0,0,0.7503,1.08
21.1,4.6,36,21.5,8,E10,0,0,0,0.9706,1.4
21.1,4.8,43,21.5,7,E10,0,0,0,1.0128,1.46
22.7,4.7,55,21.5,6,E10,0,0,0,1.0669,1.54
44.4,4.8,38,21.5,8,E10,0,0,0,2.1311999999999998,3.07
35.8,4.4,51,21.5,6,E10,0,0,0,1.5752000000000002,2.27
11.8,4.9,44,21.5,0,E10,0,0,0,0.5782,0.83
26.2,4.9,42,21.5,6,E10,0,0,0,1.2838,1.85
40.6,4.4,44,21.0,3,E10,0,0,0,1.7864000000000002,2.57
12.4,5.3,38,21.0,-5,E10,0,0,0,0.6572,0.95
14.1,5.3,47,21.0,-3,E10,0,0,0,0.7472999999999999,1.08
58.7,4.8,75,21.0,0,E10,0,0,0,2.8176,4.05
16.2,5.2,29,21.0,0,E10,0,0,0,0.8423999999999999,1.21
12.3,4.9,50,22.5,0,E10,0,0,0,0.6027000000000001,0.87
12.3,7.1,52,22.5,0,E10,1,1,0,0.8733,1.26
12.4,5.2,51,22.5,1,E10,0,0,0,0.6448,0.93
31.8,4.7,59,22.5,3,E10,0,0,0,1.4946000000000002,2.15
12.3,5.1,55,22.5,8,E10,0,0,0,0.6273,0.9
51.6,5.0,73,22.5,12,E10,0,0,0,2.58,3.71
38.6,4.6,44,22.5,10,E10,0,0,0,1.7756,2.56
12.3,4.8,41,22.5,7,E10,0,0,0,0.5904,0.85
81.2,4.4,69,22.0,13,E10,0,0,0,3.5728000000000004,5.14
130.3,4.6,85,22.0,12,E10,0,0,0,5.9938,8.63
67.2,4.3,67,22.0,18,E10,0,0,0,2.8895999999999997,4.16
43.7,4.7,44,22.0,9,SP98,0,1,0,2.0539,3.61
12.1,4.2,43,22.0,4,SP98,0,0,0,0.5082,0.89
56.1,4.8,82,22.0,13,SP98,0,0,0,2.6927999999999996,4.74
39.0,4.1,61,22.0,16,SP98,0,0,0,1.5989999999999998,2.81
11.8,4.5,41,21.5,13,SP98,0,0,0,0.531,0.93
38.5,4.8,63,21.5,14,SP98,0,0,0,1.8479999999999999,3.25
28.2,4.6,54,21.5,14,SP98,0,0,0,1.2972,2.28
2.9,7.4,24,21.5,14,SP98,0,0,0,0.2146,0.38
6.1,5.6,24,21.5,13,SP98,0,0,0,0.34159999999999996,0.6
19.6,4.9,43,21.5,13,SP98,0,0,0,0.9604000000000003,1.69
22.2,3.8,42,21.5,15,SP98,0,0,0,0.8436,1.48
13.6,4.5,44,19.0,18,SP98,0,0,0,0.612,1.08
12.6,4.1,33,21.5,17,SP98,0,0,0,0.5166,0.91
8.7,5.3,28,22.5,12,SP98,1,1,0,0.4610999999999999,0.81
7.9,4.7,31,22.5,12,SP98,1,0,0,0.3713,0.65
2.4,9.0,26,20.0,10,SP98,0,0,0,0.21599999999999997,0.38
4.9,6.3,26,20.0,10,SP98,0,0,0,0.30870000000000003,0.54
18.1,3.6,36,20.0,19,SP98,0,0,0,0.6516000000000001,1.15
25.9,3.7,39,20.0,21,SP98,0,0,0,0.9582999999999999,1.69
1.3,11.5,21,20.0,10,SP98,0,0,0,0.14950000000000002,0.26
14.1,5.0,22,20.0,12,SP98,0,0,0,0.705,1.24
13.4,5.5,31,20.0,9,SP98,0,0,0,0.737,1.3
6.4,4.7,33,20.0,8,SP98,0,0,0,0.3008,0.53
12.9,4.5,42,20.0,13,SP98,0,0,0,0.5805,1.02
12.1,4.4,33,22.5,5,SP98,0,0,0,0.5324,0.94
15.7,4.1,32,22.5,13,SP98,0,0,0,0.6436999999999999,1.13
16.2,4.4,26,22.5,11,SP98,0,0,0,0.7128,1.25
12.8,4.6,22,22.5,12,SP98,0,0,0,0.5888,1.04
19.0,4.4,58,22.5,17,SP98,0,0,1,0.8360000000000001,1.47
29.0,4.0,27,22.5,12,SP98,0,0,0,1.16,2.04
12.1,5.0,32,22.5,9,SP98,0,0,0,0.605,1.06
12.3,5.2,55,22.5,10,SP98,0,0,0,0.6396000000000001,1.13
24.8,4.0,56,22.5,11,SP98,0,0,0,0.992,1.74
12.9,5.1,34,22.5,8,SP98,0,1,0,0.6578999999999999,1.16
11.8,4.5,39,22.5,3,SP98,0,0,0,0.531,0.93
31.4,4.6,62,22.5,11,SP98,0,0,0,1.4443999999999997,2.54
19.0,5.1,53,22.5,4,SP98,0,1,0,0.9689999999999999,1.7
13.0,5.7,38,22.5,3,SP98,1,1,0,0.7410000000000001,1.3
11.8,4.8,42,22.5,2,SP98,0,0,0,0.5664,1.0
13.0,6.2,32,22.5,4,SP98,0,0,0,0.806,1.42
11.8,5.0,43,22.5,1,SP98,0,0,0,0.59,1.04
27.1,5.0,69,22.5,8,SP98,0,0,0,1.355,2.38
5.2,4.6,38,22.5,8,SP98,0,0,0,0.23919999999999997,0.42
19.0,4.5,29,22.5,10,E10,0,0,0,0.855,1.23
12.4,4.8,38,22.5,1,E10,0,0,0,0.5952,0.86
25.2,5.0,55,22.5,9,E10,0,0,0,1.26,1.81
14.3,4.8,36,22.5,10,E10,0,0,0,0.6864,0.99
11.8,4.6,40,22.5,2,E10,0,0,0,0.5428000000000001,0.78
16.9,4.5,48,22.5,9,E10,0,0,1,0.7605,1.09
12.4,4.6,55,22.5,11,E10,0,0,1,0.5704,0.82
17.4,4.4,36,22.5,12,E10,0,0,1,0.7656000000000001,1.1
9.2,5.7,33,22.5,8,E10,0,1,0,0.5244,0.75
12.3,5.8,54,22.5,10,E10,0,1,0,0.7134,1.03
13.0,5.9,32,22.5,10,E10,0,0,0,0.767,1.1
11.8,6.1,16,22.5,6,E10,0,1,0,0.7198,1.04
13.0,5.7,37,22.5,11,E10,0,1,0,0.7410000000000001,1.07
12.3,5.0,42,22.5,10,E10,0,0,0,0.615,0.88
12.3,5.2,57,22.5,15,E10,0,0,1,0.6396000000000001,0.92
12.5,4.3,57,22.5,16,E10,0,0,1,0.5375,0.77
31.5,4.1,30,22.5,16,E10,0,0,1,1.2914999999999999,1.86
11.8,4.4,42,22.5,8,E10,0,0,0,0.5192000000000001,0.75
24.9,4.5,53,22.5,14,E10,0,0,0,1.1205,1.61
17.0,3.9,46,22.5,14,E10,0,0,1,0.6629999999999999,0.95
2.0,8.1,20,22.5,14,E10,0,0,0,0.162,0.23
11.8,4.4,33,22.5,8,E10,0,0,0,0.5192000000000001,0.75
7.4,5.0,31,22.5,12,E10,0,0,0,0.37,0.53
12.4,4.7,55,22.5,14,E10,0,0,1,0.5828,0.84
2.0,6.0,22,22.5,14,E10,0,0,0,0.12,0.17
14.0,5.0,41,22.5,8,E10,0,0,0,0.7,1.01
25.7,5.0,45,22.5,7,E10,0,0,0,1.285,1.85
24.5,3.9,50,21.5,15,E10,0,0,1,0.9555,1.37
11.8,4.5,28,22.5,12,E10,0,0,0,0.531,0.76
4.1,5.4,24,22.5,13,E10,0,0,0,0.2214,0.32
4.2,5.6,29,22.0,17,E10,0,0,0,0.2352,0.34
4.2,3.9,29,22.0,18,E10,0,0,1,0.1638,0.24
16.0,4.0,40,22.0,10,E10,0,0,0,0.64,0.92
22.9,4.0,29,21.5,21,E10,0,0,0,0.9159999999999999,1.32
16.0,3.8,42,21.5,8,E10,0,0,0,0.608,0.87
15.4,4.5,50,22.0,14,E10,0,0,0,0.693,1.0
16.0,3.8,41,22.0,12,E10,0,0,0,0.608,0.87
4.2,5.6,32,22.0,18,E10,0,0,0,0.2352,0.34
101.9,5.2,75,22.0,18,E10,0,0,0,5.2988,7.62
93.9,4.8,88,23.0,18,E10,1,0,1,4.5072,6.49
25.7,4.9,50,22.0,10,SP98,0,1,0,1.2593,2.22
16.0,4.1,40,22.0,10,SP98,0,0,0,0.6559999999999999,1.15
16.1,4.5,32,22.0,19,SP98,0,0,0,0.7245,1.27
16.0,4.4,40,22.0,7,SP98,1,1,0,0.7040000000000001,1.24
16.0,4.5,41,22.0,11,SP98,0,0,0,0.72,1.27
24.7,4.5,26,22.0,10,SP98,0,0,0,1.1115,1.96
16.0,3.9,42,22.0,8,SP98,0,0,0,0.624,1.1
15.4,4.6,43,22.0,16,SP98,0,0,0,0.7083999999999999,1.25
16.0,3.8,40,22.0,8,SP98,0,0,0,0.608,1.07
32.1,4.5,50,22.0,16,SP98,0,0,0,1.4445000000000001,2.54
25.9,4.4,40,22.0,14,SP98,0,0,0,1.1396000000000002,2.0
48.6,4.3,44,22.0,12,SP98,0,0,0,2.0898,3.68
37.2,4.0,45,22.0,20,SP98,0,0,1,1.4880000000000002,2.62
28.8,3.9,35,22.0,15,SP98,0,0,1,1.1232,1.98
6.7,5.0,30,22.0,17,SP98,0,0,0,0.335,0.59
7.4,4.1,25,22.0,18,SP98,0,0,1,0.3034,0.53
17.3,4.1,22,22.0,25,SP98,0,0,1,0.7092999999999999,1.25
6.6,5.6,43,22.0,16,SP98,0,0,0,0.36959999999999993,0.65
14.3,4.1,26,22.0,20,SP98,0,0,0,0.5862999999999999,1.03
13.3,4.6,33,22.0,18,SP98,0,0,0,0.6118,1.08
8.3,4.9,26,22.0,23,SP98,0,0,0,0.40670000000000006,0.72
12.7,4.5,39,22.0,27,SP98,0,0,1,0.5715,1.01
16.5,4.1,47,22.0,14,SP98,0,0,0,0.6764999999999999,1.19
20.6,4.1,38,22.0,21,SP98,0,0,0,0.8445999999999999,1.49
16.3,4.5,58,22.0,16,SP98,0,0,0,0.7335,1.29
18.7,4.2,65,25.0,18,SP98,1,0,1,0.7854000000000001,1.38
36.5,3.9,54,23.0,18,SP98,0,0,1,1.4235,2.5
19.0,5.0,35,22.0,15,SP98,1,0,1,0.95,1.67
16.6,4.4,46,22.0,5,SP98,1,0,0,0.7304,1.28
29.9,4.5,32,22.0,18,SP98,1,0,0,1.3455,2.37
16.0,3.8,42,22.0,11,SP98,0,0,0,0.608,1.07
21.1,5.1,33,22.0,10,SP98,0,1,0,1.0761,1.89
16.0,3.9,40,22.0,10,SP98,0,0,0,0.624,1.1
11.9,5.3,34,22.0,13,SP98,0,0,0,0.6307,1.11
10.1,4.2,35,22.0,16,SP98,0,0,0,0.4242,0.75
31.9,4.3,33,22.0,16,SP98,0,0,0,1.3717,2.41
18.7,4.0,60,22.0,13,SP98,0,0,0,0.748,1.32
10.8,4.7,48,22.0,17,SP98,0,0,1,0.5076,0.89
19.8,4.0,56,22.0,17,SP98,0,0,1,0.792,1.39
11.3,4.3,38,22.0,17,SP98,0,0,0,0.48590000000000005,0.85
11.5,5.3,53,22.0,15,SP98,0,0,0,0.6094999999999999,1.07
21.4,5.2,51,22.0,13,SP98,0,0,0,1.1128,1.96
32.0,4.9,53,22.0,15,SP98,0,0,0,1.568,2.76
41.9,4.7,53,22.0,14,SP98,0,0,0,1.9693,3.46
211.0,4.6,80,22.0,20,SP98,0,0,0,9.706,17.07
216.1,5.3,90,22.0,21,SP98,0,0,1,11.453299999999999,20.15
25.5,3.6,27,22.0,27,SP98,0,0,1,0.9179999999999999,1.61
16.6,4.2,52,22.0,15,SP98,0,1,0,0.6972000000000002,1.23
25.9,4.1,43,22.0,24,SP98,0,0,0,1.0618999999999998,1.87
16.5,4.0,48,22.0,15,SP98,0,0,0,0.66,1.16
22.1,3.9,29,22.0,26,SP98,0,0,0,0.8619,1.52
16.6,3.7,49,22.0,17,E10,0,0,0,0.6142000000000001,0.88
15.4,4.5,43,22.0,24,E10,0,0,0,0.693,1.0
16.5,3.9,43,22.0,17,E10,0,0,0,0.6435,0.93
15.4,5.1,21,22.0,24,E10,0,0,0,0.7853999999999999,1.13
18.4,4.2,59,22.0,24,E10,0,0,0,0.7728,1.11
39.5,4.2,58,22.0,25,E10,0,0,0,1.659,2.39
21.5,4.8,47,25.0,27,E10,1,0,1,1.032,1.49
4.8,4.7,26,25.0,18,E10,0,0,0,0.2256,0.32
100.9,4.7,87,23.5,22,E10,0,0,0,4.7423,6.82
129.7,4.6,58,24.0,21,E10,0,0,0,5.966199999999999,8.59
16.6,3.8,43,21.5,16,E10,0,0,0,0.6308,0.91
15.4,4.2,50,21.5,21,E10,0,0,0,0.6468,0.93
16.0,3.7,45,22.0,17,E10,0,0,0,0.5920000000000001,0.85
16.0,4.2,41,22.0,15,E10,0,0,0,0.672,0.97
15.4,4.1,45,22.0,24,E10,0,0,0,0.6314,0.91
16.0,4.0,43,22.0,16,E10,0,0,0,0.64,0.92
21.0,3.8,37,22.0,21,E10,0,0,0,0.7979999999999999,1.15
15.4,3.8,47,22.0,24,E10,0,0,0,0.5851999999999999,0.84
16.0,3.8,42,22.0,17,E10,0,0,0,0.608,0.87
16.1,5.1,30,25.0,16,E10,1,1,0,0.8210999999999999,1.18
16.0,4.0,42,22.0,15,E10,0,0,0,0.64,0.92
15.4,4.8,40,22.0,18,E10,0,0,0,0.7392,1.06
17.2,3.9,35,22.0,16,E10,0,0,0,0.6708,0.97
16.6,4.6,50,22.0,25,E10,0,0,0,0.7636,1.1
18.3,4.3,46,22.0,16,SP98,0,0,0,0.7868999999999999,1.38
16.1,4.8,36,22.0,18,SP98,0,1,0,0.7728,1.36
16.0,4.1,46,22.0,17,SP98,0,0,0,0.6559999999999999,1.15
16.3,4.0,35,22.0,23,SP98,0,0,0,0.652,1.15
16.0,3.7,44,22.0,16,SP98,0,0,0,0.5920000000000001,1.04
18.3,4.3,46,22.0,23,SP98,0,0,0,0.7868999999999999,1.38
4.5,5.2,23,22.0,23,SP98,0,0,1,0.234,0.41
17.0,4.2,48,22.0,16,SP98,0,0,0,0.7140000000000001,1.26
6.1,5.0,35,24.5,18,SP98,0,0,0,0.305,0.54
6.1,5.0,33,22.0,24,SP98,0,0,1,0.305,0.54
17.3,4.2,36,22.0,22,SP98,0,0,0,0.7266000000000001,1.28
6.0,4.8,27,22.0,17,SP98,0,0,0,0.288,0.51
16.0,4.1,45,22.0,15,SP98,0,0,0,0.6559999999999999,1.15
15.4,4.9,55,22.0,18,SP98,0,0,0,0.7546,1.33
15.4,4.3,39,22.0,23,SP98,0,0,0,0.6622,1.16
16.0,3.9,35,22.0,18,SP98,0,0,0,0.624,1.1
15.4,4.5,52,22.0,26,SP98,0,0,0,0.693,1.22
16.6,4.1,48,25.5,30,SP98,1,0,1,0.6806,1.2
15.4,5.0,48,25.5,31,SP98,1,0,0,0.77,1.35
16.0,4.0,43,22.0,21,SP98,1,0,0,0.64,1.13
15.4,4.5,42,22.0,30,SP98,0,0,0,0.693,1.22
16.0,3.6,43,22.0,19,SP98,0,0,0,0.5760000000000001,1.01
20.9,4.1,33,22.0,21,SP98,0,0,0,0.8568999999999999,1.51
32.1,3.9,47,22.0,26,SP98,0,0,0,1.2519,2.2
15.3,6.6,16,24.0,27,SP98,1,0,0,1.0098,1.78
28.5,4.0,44,25.0,23,SP98,1,0,0,1.14,2.01
11.9,3.7,33,25.0,19,SP98,0,0,0,0.4403,0.77
14.5,4.3,36,25.0,22,SP98,0,0,0,0.6234999999999999,1.1
16.6,4.1,49,22.0,26,SP98,0,0,1,0.6806,1.2
16.2,4.4,39,24.5,17,SP98,1,0,0,0.7128,1.25
16.7,3.8,44,24.5,23,SP98,0,0,1,0.6345999999999999,1.12
8.3,5.0,52,24.5,27,SP98,0,0,0,0.415,0.73
5.5,3.7,33,24.5,28,SP98,0,0,1,0.20350000000000001,0.36
13.6,3.7,33,24.5,28,SP98,0,0,1,0.5032,0.89
16.0,3.7,39,24.5,18,SP98,0,0,0,0.5920000000000001,1.04
16.1,4.3,38,25.0,31,SP98,1,0,0,0.6923,1.22
16.0,3.8,45,25.0,19,SP98,0,0,0,0.608,1.07
15.4,4.6,42,25.0,31,SP98,1,0,0,0.7083999999999999,1.25
14.7,5.0,25,25.0,30,SP98,1,0,0,0.735,1.29
